15:06:44.953 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,188] - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
15:06:45.095 [restartedMain] INFO  o.s.c.c.s.GenericScope - [setSerializationId,283] - BeanFactory id=704c5615-991a-303f-9ec8-f8e150343cd9
15:06:45.490 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 2090 (http)
15:06:45.496 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-2090"]
15:06:45.496 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
15:06:45.497 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.46]
15:06:45.565 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
15:06:45.565 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,289] - Root WebApplicationContext: initialization completed in 1445 ms
15:06:45.657 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
15:06:45.670 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - [logMessage,136] - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
15:08:31.458 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.7.Final
15:08:31.463 [restartedMain] INFO  c.z.e.VrServiceApplication - [logStarting,55] - Starting VrServiceApplication using Java 1.8.0_271 on yangj with PID 21012 (D:\Java_Tools\IntelliJ IDEA_WorkPlace\edu-vr\edu-vr-admin\target\classes started by ZJ in D:\Java_Tools\IntelliJ IDEA_WorkPlace\edu-vr)
15:08:31.463 [restartedMain] INFO  c.z.e.VrServiceApplication - [logStartupProfileInfo,668] - The following profiles are active: dev
15:08:31.493 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
15:08:31.494 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
15:08:32.323 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [multipleStoresDetected,250] - Multiple Spring Data modules found, entering strict repository configuration mode!
15:08:32.324 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,128] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
15:08:32.340 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,188] - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
15:08:32.484 [restartedMain] INFO  o.s.c.c.s.GenericScope - [setSerializationId,283] - BeanFactory id=704c5615-991a-303f-9ec8-f8e150343cd9
15:08:32.883 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 2090 (http)
15:08:32.889 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-2090"]
15:08:32.890 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
15:08:32.890 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.46]
15:08:32.957 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
15:08:32.957 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,289] - Root WebApplicationContext: initialization completed in 1463 ms
15:08:33.051 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
15:08:33.064 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - [logMessage,136] - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
15:09:27.525 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.7.Final
15:09:27.529 [restartedMain] INFO  c.z.e.VrServiceApplication - [logStarting,55] - Starting VrServiceApplication using Java 1.8.0_271 on yangj with PID 4800 (D:\Java_Tools\IntelliJ IDEA_WorkPlace\edu-vr\edu-vr-admin\target\classes started by ZJ in D:\Java_Tools\IntelliJ IDEA_WorkPlace\edu-vr)
15:09:27.529 [restartedMain] INFO  c.z.e.VrServiceApplication - [logStartupProfileInfo,668] - The following profiles are active: dev
15:09:27.559 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
15:09:27.559 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
15:09:28.395 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [multipleStoresDetected,250] - Multiple Spring Data modules found, entering strict repository configuration mode!
15:09:28.396 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,128] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
15:09:28.411 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,188] - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
15:09:28.555 [restartedMain] INFO  o.s.c.c.s.GenericScope - [setSerializationId,283] - BeanFactory id=704c5615-991a-303f-9ec8-f8e150343cd9
15:09:28.960 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 2090 (http)
15:09:28.965 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-2090"]
15:09:28.965 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
15:09:28.965 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.46]
15:09:29.033 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
15:09:29.033 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,289] - Root WebApplicationContext: initialization completed in 1473 ms
15:09:29.128 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
15:09:29.141 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - [logMessage,136] - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
15:10:24.642 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.7.Final
15:10:24.647 [restartedMain] INFO  c.z.e.VrServiceApplication - [logStarting,55] - Starting VrServiceApplication using Java 1.8.0_271 on yangj with PID 8628 (D:\Java_Tools\IntelliJ IDEA_WorkPlace\edu-vr\edu-vr-admin\target\classes started by ZJ in D:\Java_Tools\IntelliJ IDEA_WorkPlace\edu-vr)
15:10:24.647 [restartedMain] INFO  c.z.e.VrServiceApplication - [logStartupProfileInfo,668] - The following profiles are active: dev
15:10:24.678 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
15:10:24.678 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
15:10:25.526 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [multipleStoresDetected,250] - Multiple Spring Data modules found, entering strict repository configuration mode!
15:10:25.528 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,128] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
15:10:25.544 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,188] - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
15:10:25.684 [restartedMain] INFO  o.s.c.c.s.GenericScope - [setSerializationId,283] - BeanFactory id=704c5615-991a-303f-9ec8-f8e150343cd9
15:10:26.085 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 2090 (http)
15:10:26.091 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-2090"]
15:10:26.092 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
15:10:26.092 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.46]
15:10:26.160 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
15:10:26.160 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,289] - Root WebApplicationContext: initialization completed in 1481 ms
15:10:26.253 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
15:10:26.266 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - [logMessage,136] - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
15:13:30.938 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.7.Final
15:13:30.942 [restartedMain] INFO  c.z.e.VrServiceApplication - [logStarting,55] - Starting VrServiceApplication using Java 1.8.0_271 on yangj with PID 23632 (D:\Java_Tools\IntelliJ IDEA_WorkPlace\edu-vr\edu-vr-admin\target\classes started by ZJ in D:\Java_Tools\IntelliJ IDEA_WorkPlace\edu-vr)
15:13:30.942 [restartedMain] INFO  c.z.e.VrServiceApplication - [logStartupProfileInfo,668] - The following profiles are active: dev
15:13:30.973 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
15:13:30.973 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
15:13:31.798 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [multipleStoresDetected,250] - Multiple Spring Data modules found, entering strict repository configuration mode!
15:13:31.800 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,128] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
15:13:31.815 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,188] - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
15:13:31.955 [restartedMain] INFO  o.s.c.c.s.GenericScope - [setSerializationId,283] - BeanFactory id=704c5615-991a-303f-9ec8-f8e150343cd9
15:13:32.354 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 2090 (http)
15:13:32.360 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-2090"]
15:13:32.360 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
15:13:32.360 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.46]
15:13:32.427 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
15:13:32.428 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,289] - Root WebApplicationContext: initialization completed in 1455 ms
15:13:32.521 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
15:13:32.534 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - [logMessage,136] - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
15:15:32.203 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.7.Final
15:15:32.208 [restartedMain] INFO  c.z.e.VrServiceApplication - [logStarting,55] - Starting VrServiceApplication using Java 1.8.0_271 on yangj with PID 21496 (D:\Java_Tools\IntelliJ IDEA_WorkPlace\edu-vr\edu-vr-admin\target\classes started by ZJ in D:\Java_Tools\IntelliJ IDEA_WorkPlace\edu-vr)
15:15:32.208 [restartedMain] INFO  c.z.e.VrServiceApplication - [logStartupProfileInfo,668] - The following profiles are active: dev
15:15:32.238 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
15:15:32.238 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
15:15:33.072 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [multipleStoresDetected,250] - Multiple Spring Data modules found, entering strict repository configuration mode!
15:15:33.074 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,128] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
15:15:33.090 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,188] - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
15:15:33.234 [restartedMain] INFO  o.s.c.c.s.GenericScope - [setSerializationId,283] - BeanFactory id=704c5615-991a-303f-9ec8-f8e150343cd9
15:15:33.646 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 2090 (http)
15:15:33.652 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-2090"]
15:15:33.652 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
15:15:33.652 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.46]
15:15:33.719 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
